dataset,metric,comparison,n_pairs,mean_delta,ci_low,ci_high,p_value,cohen_d,p_value_bh
arguana,ndcg@10,all_minilm_l6_minus_bm25,250,0.03171215203900135,0.005107197946978138,0.058241220111020175,0.025691513100694032,0.14194247127673248,0.051383026201388064
fiqa,ndcg@10,all_minilm_l6_minus_bm25,250,0.13633107878567738,0.09263962636146178,0.1832757324535937,9.49571325247404e-09,0.37573929446782345,5.697427951484424e-08
nfcorpus,ndcg@10,all_minilm_l6_minus_bm25,250,0.0004641725750961647,-0.025052766796845156,0.027287547683177208,0.9718936830465161,0.002230592823023121,0.9718936830465162
scifact,ndcg@10,all_minilm_l6_minus_bm25,250,-0.03101922790450838,-0.072287716266106,0.00984875658567232,0.14913523900850564,-0.0915207027652523,0.19884698534467418
arguana,mrr@10,all_minilm_l6_minus_bm25,250,0.02033492063492065,-0.0009984126984126994,0.04178888888888889,0.0662597648907518,0.11667300164025819,0.11358816838414595
fiqa,mrr@10,all_minilm_l6_minus_bm25,250,0.1560714285714286,0.09669523809523808,0.21593809523809512,4.5758596423024355e-07,0.3276302615340156,1.8303438569209744e-06
nfcorpus,mrr@10,all_minilm_l6_minus_bm25,250,-0.027515873015873025,-0.06872063492063492,0.013431746031746024,0.19356845838414302,-0.08244792679487974,0.2322821500609716
scifact,mrr@10,all_minilm_l6_minus_bm25,250,-0.037546031746031744,-0.0823825396825397,0.00834761904761905,0.10842799340227506,-0.10189397788160226,0.1626419901034126
arguana,recall@100,all_minilm_l6_minus_bm25,250,0.032,0.008,0.056,0.01112972075598915,0.16176367850889464,0.026711329814373963
fiqa,recall@100,all_minilm_l6_minus_bm25,250,0.24216727716727718,0.19008742368742368,0.2950600732600734,4.151202452714958e-18,0.5934815241686943,4.9814429432579493e-17
nfcorpus,recall@100,all_minilm_l6_minus_bm25,250,0.059745871481785305,0.030064810295659737,0.08925458480056042,5.262867347531173e-05,0.26026678325458846,0.00015788602042593518
scifact,recall@100,all_minilm_l6_minus_bm25,250,0.015600000000000001,-0.024,0.055600000000000004,0.43949890979067335,0.0489698607710656,0.47945335613528
