dataset,method,mean_ndcg@10,latency_s_per_query,build_seconds
arguana,all_minilm_l6,0.3635227280393506,0.0036057234883192,0.1638763600058155
arguana,bge_small_en_v15,0.42398709488241426,0.0025789638919522986,0.20670112599327695
arguana,bm25,0.3318105760003493,0.06755054024420679,0.49848937800561544
fiqa,all_minilm_l6,0.38075605163653203,0.0039053546836948956,0.06901883499813266
fiqa,bge_small_en_v15,0.3626103153226161,0.003768973447324242,0.07676565699512139
fiqa,bm25,0.24442497285085457,0.05735244362789671,2.899124875009875
nfcorpus,all_minilm_l6,0.26031872541312645,0.0019521062045241705,0.02607282399549149
nfcorpus,bge_small_en_v15,0.28757513328153433,0.0021759686602745207,0.03599608199147042
nfcorpus,bm25,0.2598545528380303,0.0005587957760435529,0.2639787429943681
scifact,all_minilm_l6,0.6503830770633771,0.0017275330161792227,0.03114550899772439
scifact,bge_small_en_v15,0.709907503192677,0.0023979877441888675,0.04106291300558951
scifact,bm25,0.6814023049678855,0.003499244247679599,0.34294437999778893
