dataset,method,ndcg@10,mrr@10,recall@100,latency_s_per_query,build_seconds
arguana,all_minilm_l6,0.3635227280393506,0.23935079365079365,0.968,0.0036057234883192,0.1638763600058155
arguana,bge_small_en_v15,0.42398709488241426,0.28918888888888894,0.9879999999999999,0.0025789638919522986,0.20670112599327695
arguana,bm25,0.3318105760003493,0.21901587301587297,0.9359999999999999,0.06755054024420679,0.49848937800561544
fiqa,all_minilm_l6,0.38075605163653203,0.4707523809523809,0.7104992673992674,0.0039053546836948956,0.06901883499813266
fiqa,bge_small_en_v15,0.3626103153226161,0.4565650793650794,0.6476838827838828,0.003768973447324242,0.07676565699512139
fiqa,bm25,0.24442497285085457,0.31468095238095234,0.46833199023199035,0.05735244362789671,2.899124875009875
nfcorpus,all_minilm_l6,0.26031872541312645,0.411315873015873,0.2777364258813772,0.0019521062045241705,0.02607282399549149
nfcorpus,bge_small_en_v15,0.28757513328153433,0.4456873015873016,0.2747726369036442,0.0021759686602745207,0.03599608199147042
nfcorpus,bm25,0.2598545528380303,0.43883174603174596,0.21799055439959183,0.0005587957760435529,0.2639787429943681
scifact,all_minilm_l6,0.6503830770633771,0.6169301587301586,0.9239999999999998,0.0017275330161792227,0.03114550899772439
scifact,bge_small_en_v15,0.709907503192677,0.6770920634920635,0.9559999999999998,0.0023979877441888675,0.04106291300558951
scifact,bm25,0.6814023049678855,0.6544761904761904,0.9084,0.003499244247679599,0.34294437999778893
