dataset,metric,baseline_method,candidate_method,n_paired_queries,mean_delta,ci_low,ci_high,p_value,p_value_bh,cohen_d,bootstrap_resamples
"arguana","ndcg@10","bm25","all_minilm_l6",1406,0.029047180800578273,0.015657373182555483,0.041546830593801085,0.0000057838237274457416,0.000013881176945869779,0.12138661037876379,2000
"arguana","ndcg@10","bm25","bge_small_en_v15",1406,0.09248010068879566,0.07943703044850127,0.1053154087893383,1.5586516064877115E-44,2.8055728916778806E-43,0.38684728346756897,2000
"arguana","ndcg@10","all_minilm_l6","bge_small_en_v15",1406,0.06343291988821753,0.05227407941787276,0.07437631561788545,5.38338663400635E-28,3.23003198040381E-27,0.298965289897729,2000
"arguana","mrr@10","bm25","all_minilm_l6",1406,0.021856725146198814,0.011378671904987703,0.03182731603784237,0.000013047791389158077,0.000029357530625605674,0.11667349213115107,2000
"arguana","mrr@10","bm25","bge_small_en_v15",1406,0.0772632595001016,0.06664267651109756,0.08703713111607855,2.106264316728601E-46,7.582551540222963E-45,0.3958274215581934,2000
"arguana","mrr@10","all_minilm_l6","bge_small_en_v15",1406,0.05540653435390272,0.046245117297748856,0.06425523267628527,8.129979349475335E-32,7.316981414527801E-31,0.3209369419348243,2000
"arguana","recall@100","bm25","all_minilm_l6",1406,0.029871977240398292,0.019203413940256046,0.04054054054054054,1.3407041225375614E-7,3.447524886525158E-7,0.14135502946312578,2000
"arguana","recall@100","bm25","bge_small_en_v15",1406,0.03911806543385491,0.02844950213371266,0.050497866287339974,4.895817772957112E-11,1.6022676347859639E-10,0.17671290623160768,2000
"arguana","recall@100","all_minilm_l6","bge_small_en_v15",1406,0.009246088193456615,0.0035561877667140826,0.015647226173541962,0.004520000930092647,0.007396365158333421,0.07584605867184997,2000
"fiqa","ndcg@10","bm25","all_minilm_l6",648,0.13147575689236976,0.1060555093802161,0.15663437632804728,1.0579933144714303E-21,4.231973257885721E-21,0.38985654107553114,2000
"fiqa","ndcg@10","bm25","bge_small_en_v15",648,0.15406617530028618,0.128065616545935,0.17779197595840848,4.7915152422448384E-30,3.449890974416284E-29,0.47094893256788317,2000
