dataset,method,method_rank,mean_ndcg@10,regret_ndcg@10
arguana,bge_small_en_v15,1,0.4332670933862082,0.0
arguana,all_minilm_l6,2,0.36983417349799114,0.06343291988821709
arguana,bm25,3,0.34078699269741264,0.09248010068879559
fiqa,bge_small_en_v15,1,0.39126178824863234,0.0
fiqa,all_minilm_l6,2,0.36867136984071597,0.02259041840791637
fiqa,bm25,3,0.23719561294834587,0.15406617530028646
nfcorpus,bge_small_en_v15,1,0.3454137274739744,0.0
nfcorpus,all_minilm_l6,2,0.31672230320930983,0.02869142426466459
nfcorpus,bm25,3,0.3073218775425817,0.038091849931392696
scifact,bge_small_en_v15,1,0.7005040179184695,0.0
scifact,bm25,2,0.662213025368359,0.03829099255011048
scifact,all_minilm_l6,3,0.6450816521455774,0.05542236577289206
