dataset,method,n_queries,full_eligible_query_set,ndcg@10,mrr@10,recall@100
scifact,bm25,300,True,0.662213025368359,0.6302433862433862,0.8825555555555555
scifact,all_minilm_l6,300,True,0.6450816521455774,0.6047248677248678,0.925
scifact,bge_small_en_v15,300,True,0.7005040179184695,0.6669179894179894,0.95
nfcorpus,bm25,323,True,0.3073218775425817,0.5138151751928842,0.2359541693951468
nfcorpus,all_minilm_l6,323,True,0.31672230320930983,0.5055899552803574,0.3115099240116931
nfcorpus,bge_small_en_v15,323,True,0.3454137274739744,0.532999164578112,0.29670357235571987
arguana,bm25,1406,True,0.34078699269741264,0.22278556752240916,0.9473684210526315
arguana,all_minilm_l6,1406,True,0.36983417349799114,0.24464229266860799,0.9772403982930299
arguana,bge_small_en_v15,1406,True,0.4332670933862082,0.30004882702251007,0.9864864864864865
fiqa,bm25,648,True,0.23719561294834587,0.29486760239075044,0.5082139653898914
fiqa,all_minilm_l6,648,True,0.36867136984071597,0.44512235449735443,0.7060569574458465
fiqa,bge_small_en_v15,648,True,0.39126178824863234,0.4763588820301781,0.6829536076063858
